State,Datetime,AnomalyScore,AnomalyState,PID,Algorithm,DataDatetime,CPU(%),RAM(%),RDISK(Bytes),WDISK(Bytes),TOTALTIME(s)
Positivo,1714240488,-1.0054720843684,1,225145,svm,1714240488,322.59,4.24,886035,7846,67.45999999999913
Positivo,1714240490,-1.0054720843684,1,225145,svm,1714240490,324.29,4.7,886216,8027,69.45999999999913
Positivo,1714240492,-1.0054720843684,1,225145,svm,1714240492,321.42,4.94,886358,8169,72.45999999999913
Positivo,1714240494,-1.0054720843684,1,225145,svm,1714240494,323.21,3.36,886588,8399,74.45999999999913
Positivo,1714240496,-1.0054720843684,1,225145,svm,1714240496,324.29,4.36,886779,8590,76.45999999999913
Positivo,1714240498,-1.0054720843684,1,225145,svm,1714240498,325.76,5.06,886895,8706,78.45999999999913
Positivo,1714240500,-1.0054720843684,1,225145,svm,1714240500,327.26,3.99,887158,8969,80.45999999999913
Positivo,1714240502,-1.0054720843684,1,225145,svm,1714240502,328.56,3.78,887473,9284,82.45999999999913
Positivo,1714240504,-1.0054720843684,1,225145,svm,1714240504,329.65,5.07,887631,9442,84.45999999999913
Positivo,1714240506,-1.0054720843684,1,225145,svm,1714240506,330.93,3.46,887861,9672,86.45999999999913
Positivo,1714240508,-1.0054720843684,1,225145,svm,1714240508,331.8,4.25,888126,9937,88.45999999999913
Positivo,1714240510,-1.0054720843684,1,225145,svm,1714240510,332.68,5.21,888335,10146,90.45999999999913
Positivo,1714240512,-1.0054720843684,1,225145,svm,1714240512,333.65,3.85,888515,10326,92.45999999999913
Positivo,1714240514,-1.0054720843684,1,225145,svm,1714240514,334.65,4.3,888740,10551,94.45999999999913
Positivo,1714240517,-1.0054720843684,1,225145,svm,1714240517,335.71,4.61,888958,10769,96.45999999999913
Positivo,1714240519,-1.0054720843684,1,225145,svm,1714240519,336.85,4.75,889057,10868,98.45999999999913
Positivo,1714240521,-1.0054720843684,1,225145,svm,1714240521,337.92,4.37,889290,11101,100.45999999999913
Positivo,1714240523,-1.0054720843684,1,225145,svm,1714240523,338.54,4.69,889456,11268,102.45999999999913
Positivo,1714240525,-1.0054720843684,1,225145,svm,1714240525,339.41,4.81,889668,11479,104.45999999999913
Positivo,1714240527,-1.0054720843684,1,225145,svm,1714240527,340.29,4.29,889894,11705,106.45999999999913
Positivo,1714240529,-1.0054720843684,1,225145,svm,1714240529,340.73,4.1,890112,11923,108.45999999999913
Positivo,1714240531,-1.0054720843684,1,225145,svm,1714240531,341.35,4.97,890294,12105,110.45999999999913
Positivo,1714240533,-1.0054720843684,1,225145,svm,1714240533,342.32,3.13,890703,12514,112.45999999999913
Positivo,1714240474,-1.0054720843684,1,225150,svm,1714240474,2.25,1.58,881111,730,53.419999999998254
Positivo,1714240476,-1.0054720843684,1,225150,svm,1714240476,2.17,1.58,881111,730,55.419999999998254
Positivo,1714240478,-1.0054720843684,1,225150,svm,1714240478,2.09,1.58,881111,730,57.419999999998254
Positivo,1714240480,-1.0054720843684,1,225150,svm,1714240480,2.02,1.58,881111,730,59.419999999998254
Positivo,1714240482,-1.0054720843684,1,225150,svm,1714240482,1.95,1.58,881111,730,61.419999999998254
Positivo,1714240484,-1.0054720843684,1,225150,svm,1714240484,1.89,1.58,881111,730,63.419999999998254
Positivo,1714240486,-1.0054720843684,1,225150,svm,1714240486,1.83,1.58,881115,734,65.41999999999825
Positivo,1714240488,-1.0054720843684,1,225150,svm,1714240488,1.78,1.58,881115,734,67.41999999999825
Positivo,1714240490,-1.0054720843684,1,225150,svm,1714240490,1.73,1.58,881115,734,69.41999999999825
Positivo,1714240492,-1.0054720843684,1,225150,svm,1714240492,1.66,1.58,881115,734,72.41999999999825
Positivo,1714240494,-1.0054720843684,1,225150,svm,1714240494,1.61,1.58,881115,734,74.41999999999825
Positivo,1714240496,-1.0054720843684,1,225150,svm,1714240496,1.57,1.58,881115,734,76.41999999999825
Positivo,1714240498,-1.0054720843684,1,225150,svm,1714240498,1.58,1.56,881144,763,78.41999999999825
Positivo,1714240500,-1.0054720843684,1,225150,svm,1714240500,1.54,1.56,881146,765,80.41999999999825
Positivo,1714240502,-1.0054720843684,1,225150,svm,1714240502,1.5,1.56,881146,765,82.41999999999825
Positivo,1714240504,-1.0054720843684,1,225150,svm,1714240504,1.47,1.56,881146,765,84.41999999999825
Positivo,1714240506,-1.0054720843684,1,225150,svm,1714240506,1.43,1.56,881146,765,86.41999999999825
Positivo,1714240508,-1.0054720843684,1,225150,svm,1714240508,1.4,1.56,881146,765,88.41999999999825
Positivo,1714240510,-1.0054720843684,1,225150,svm,1714240510,1.37,1.56,881146,765,90.41999999999825
Positivo,1714240512,-1.0054720843684,1,225150,svm,1714240512,1.34,1.56,881146,765,92.41999999999825
Positivo,1714240514,-1.0054720843684,1,225150,svm,1714240514,1.31,1.56,881146,765,94.41999999999825
Positivo,1714240517,-1.0054720843684,1,225150,svm,1714240517,1.29,1.56,881146,765,96.41999999999825
Positivo,1714240519,-1.0054720843684,1,225150,svm,1714240519,1.26,1.56,881146,765,98.41999999999825
Positivo,1714240521,-1.0054720843684,1,225150,svm,1714240521,1.23,1.56,881146,765,100.41999999999825
Positivo,1714240523,-1.0054720843684,1,225150,svm,1714240523,1.21,1.56,881146,765,102.41999999999825
Positivo,1714240525,-1.0054720843684,1,225150,svm,1714240525,1.19,1.56,881146,765,104.41999999999825
Positivo,1714240527,-1.0054720843684,1,225150,svm,1714240527,1.17,1.56,881146,765,106.41999999999825
Positivo,1714240529,-1.0054720843684,1,225150,svm,1714240529,1.14,1.56,881146,765,108.41999999999825
Positivo,1714240531,-1.0054720843684,1,225150,svm,1714240531,1.12,1.56,881146,765,110.41999999999825
Positivo,1714240533,-1.0054720843684,1,225150,svm,1714240533,1.1,1.56,881146,765,112.41999999999825
Positivo,1714240533,-1.0054720843684,1,225145,svm,1714240533,342.32,3.13,890703,12514,112.45999999999913
Positivo,1714240535,-1.0054720843684,1,225145,svm,1714240535,339.62,4.96,890837,12648,115.45999999999913
Positivo,1714240537,-1.0054720843684,1,225145,svm,1714240537,340.3,4.65,891036,12847,117.45999999999913
Positivo,1714240539,-1.0054720843684,1,225145,svm,1714240539,341.01,3.49,891250,13061,119.45999999999913
Positivo,1714240541,-1.0054720843684,1,225145,svm,1714240541,341.32,5.26,891402,13213,121.45999999999913
Positivo,1714240543,-1.0054720843684,1,225145,svm,1714240543,342.0,3.67,891595,13406,123.45999999999913
Positivo,1714240545,-1.0054720843684,1,225145,svm,1714240545,342.36,4.25,891776,13587,125.45999999999913
Positivo,1714240547,-1.0054720843684,1,225145,svm,1714240547,342.92,3.98,891991,13802,127.45999999999913
Positivo,1714240549,-1.0054720843684,1,225145,svm,1714240549,343.16,5.15,892152,13963,129.45999999999913
Positivo,1714240551,-1.0054720843684,1,225145,svm,1714240551,343.5,4.22,892282,14093,131.45999999999913
Positivo,1714240553,-1.0054720843684,1,225145,svm,1714240553,344.01,3.75,892567,14378,133.45999999999913
Positivo,1714240555,-1.0054720843684,1,225145,svm,1714240555,344.44,4.29,892809,14620,135.45999999999913
Positivo,1714240557,-1.0054720843684,1,225145,svm,1714240557,344.94,4.9,892967,14778,137.45999999999913
Positivo,1714240559,-1.0054720843684,1,225145,svm,1714240559,345.5,3.88,893370,15181,139.45999999999913
Positivo,1714240562,-1.0054720843684,1,225145,svm,1714240562,345.65,3.77,893552,15363,141.45999999999913
