State,Datetime,AnomalyScore,AnomalyState,PID,Algorithm,DataDatetime,CPU(%),RAM(%),RDISK(Bytes),WDISK(Bytes),TOTALTIME(s)
Positivo,1714483612,-1.0054720843684,1,133655,svm,1714483614,9.08,1.81
Positivo,1714483614,-1.0054720843684,1,133655,svm,1714483616,8.26,1.74
Positivo,1714483616,-1.0054720843684,1,133655,svm,1714483618,7.27,1.73
Positivo,1714483618,-1.0054720843684,1,133655,svm,1714483620,6.55,1.62
Positivo,1714483620,-1.0054720843684,1,133655,svm,1714483622,5.92,1.61
Positivo,1714483622,-1.0054720843684,1,133655,svm,1714483624,5.4,1.61
Positivo,1714483624,-1.0054720843684,1,133655,svm,1714483626,4.97,1.61
Positivo,1714483626,-1.0054720843684,1,133655,svm,1714483628,4.63,1.6
Positivo,1714483628,-1.0054720843684,1,133655,svm,1714483630,4.31,1.6
Positivo,1714483630,-1.0054720843684,1,133655,svm,1714483632,4.03,1.6
Positivo,1714483632,-1.0054720843684,1,133655,svm,1714483634,3.78,1.6
Positivo,1714483634,-1.0054720843684,1,133655,svm,1714483636,3.57,1.6
Positivo,1714483636,-1.0054720843684,1,133655,svm,1714483638,3.37,1.59
Positivo,1714483638,-1.0054720843684,1,133655,svm,1714483640,3.2,1.59
Positivo,1714483640,-1.0054720843684,1,133655,svm,1714483643,3.04,1.59
Positivo,1714483643,-1.0054720843684,1,133655,svm,1714483645,2.9,1.59
Positivo,1714483645,-1.0054720843684,1,133655,svm,1714483647,2.77,1.59
Positivo,1714483647,-1.0054720843684,1,133655,svm,1714483649,2.65,1.59
Positivo,1714483651,-1.0054720843684,1,133649,svm,1714483651,303.11,4.45
Positivo,1714483653,-1.0054720843684,1,133649,svm,1714483653,305.88,5.24
Positivo,1714483655,-1.0054720843684,1,133649,svm,1714483655,308.8,3.88
Positivo,1714483657,-1.0054720843684,1,133649,svm,1714483657,311.0,4.59
Positivo,1714483659,-1.0054720843684,1,133649,svm,1714483659,313.72,4.59
Positivo,1714483661,-1.0054720843684,1,133649,svm,1714483661,315.3,3.87
Positivo,1714483663,-1.0054720843684,1,133649,svm,1714483663,317.29,4.43
Positivo,1714483665,-1.0054720843684,1,133649,svm,1714483665,319.24,4.39
Positivo,1714483667,-1.0054720843684,1,133649,svm,1714483667,320.88,4.32
Positivo,1714483669,-1.0054720843684,1,133649,svm,1714483669,322.59,4.78
Positivo,1714483671,-1.0054720843684,1,133649,svm,1714483671,319.8,4.58
Positivo,1714483673,-1.0054720843684,1,133649,svm,1714483673,321.59,4.51
Positivo,1714483675,-1.0054720843684,1,133649,svm,1714483675,322.89,4.83
Positivo,1714483677,-1.0054720843684,1,133649,svm,1714483677,324.33,3.83
